splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
MCNC.RF.1.1.1,0.7916666666666666,0.789044289044289,0.7575757575757576,0.78125,0.7756047448718427,0.8508158508158509,0.5796671338052435
MCNC.SVM.1.1.1,0.7638888888888888,0.7657342657342657,0.7878787878787878,0.7222222222222222,0.7477052153828623,0.8003108003108004,0.5296199396711575
MCNC.RF.1.1.2,0.7222222222222222,0.7088906372934698,0.6129032258064516,0.7037037037037037,0.7843997807550739,0.7915027537372147,0.42730070252110836
MCNC.SVM.1.1.2,0.7083333333333334,0.7006294256490952,0.6451612903225806,0.6666666666666666,0.7534411965157652,0.7285601888276947,0.40300657184967775
MCNC.RF.1.1.3,0.75,0.737012987012987,0.6785714285714286,0.6785714285714286,0.7444418028484094,0.7528409090909092,0.474025974025974
MCNC.SVM.1.1.3,0.7083333333333334,0.7094155844155845,0.7142857142857143,0.6060606060606061,0.6643749061409908,0.7581168831168831,0.40978407253674987
MCNC.RF.1.1.4,0.75,0.75,0.75,0.65625,0.6966417037841894,0.8311688311688311,0.4905354217587146
MCNC.SVM.1.1.4,0.75,0.75,0.75,0.65625,0.6328279344707006,0.8043831168831169,0.4905354217587146
MCNC.RF.1.1.5,0.75,0.75,0.6944444444444444,0.78125,0.8745047185256547,0.8545524691358025,0.5031152949374527
MCNC.SVM.1.1.5,0.7222222222222222,0.7222222222222222,0.6944444444444444,0.7352941176470589,0.7965367152713798,0.7847222222222222,0.4451319072597258
MCNC.RF.1.2.1,0.6944444444444444,0.6857142857142857,0.6333333333333333,0.6333333333333333,0.5663002636732557,0.7373015873015873,0.37142857142857144
MCNC.SVM.1.2.1,0.6388888888888888,0.6476190476190475,0.7,0.5526315789473685,0.5203298176902046,0.6857142857142857,0.29155897213538196
MCNC.RF.1.2.2,0.8194444444444444,0.8198051948051948,0.8214285714285714,0.7419354838709677,0.8472135525656478,0.890422077922078,0.6297208721956303
MCNC.SVM.1.2.2,0.8055555555555556,0.8084415584415584,0.8214285714285714,0.71875,0.7822861258105412,0.8482142857142857,0.6052060398321804
MCNC.RF.1.2.3,0.7916666666666666,0.7750601443464314,0.6896551724137931,0.7692307692307693,0.7803604057854384,0.8043303929430634,0.5617269999245488
MCNC.SVM.1.2.3,0.75,0.7401764234161989,0.6896551724137931,0.6896551724137931,0.7956167231090929,0.8299919807538092,0.48035284683239776
MCNC.RF.1.2.4,0.7083333333333334,0.7051282051282051,0.6666666666666666,0.6875,0.7375908236485502,0.7513597513597514,0.4113766756037212
MCNC.SVM.1.2.4,0.6111111111111112,0.6153846153846154,0.6666666666666666,0.5641025641025641,0.6476959792241841,0.7086247086247086,0.23076923076923078
MCNC.RF.1.2.5,0.75,0.75,0.6944444444444444,0.78125,0.8328997970422906,0.7978395061728395,0.5031152949374527
MCNC.SVM.1.2.5,0.75,0.75,0.7222222222222222,0.7647058823529411,0.8351335141233639,0.8070987654320987,0.5007733956671915
MCNC.RF.1.3.1,0.6666666666666666,0.662004662004662,0.6060606060606061,0.6451612903225806,0.7477331919686712,0.7637917637917638,0.3260423436367263
MCNC.SVM.1.3.1,0.6388888888888888,0.6433566433566433,0.696969696969697,0.5897435897435898,0.6429341876801484,0.6946386946386947,0.2867132867132867
MCNC.RF.1.3.2,0.7638888888888888,0.7296296296296296,0.5925925925925926,0.7272727272727273,0.6833693021532804,0.7909465020576131,0.4826693453801442
MCNC.SVM.1.3.2,0.7638888888888888,0.7518518518518519,0.7037037037037037,0.6785714285714286,0.682373826786693,0.762962962962963,0.5002164033860248
MCNC.RF.1.3.3,0.7638888888888888,0.768644747393745,0.7931034482758621,0.6764705882352942,0.8133053325913454,0.8492381716118684,0.5278497487013126
MCNC.SVM.1.3.3,0.75,0.7626303127506014,0.8275862068965517,0.6486486486486487,0.7924531906379637,0.8460304731355252,0.5154341497274327
MCNC.RF.1.3.4,0.7083333333333334,0.6966955153422503,0.6129032258064516,0.6785714285714286,0.7490923375442148,0.7486231313926043,0.399569081342405
MCNC.SVM.1.3.4,0.7361111111111112,0.7289535798583793,0.6774193548387096,0.7,0.7637943457095266,0.8017309205350118,0.4599016172872793
MCNC.RF.1.3.5,0.7638888888888888,0.7638888888888888,0.6388888888888888,0.8518518518518519,0.8286903707621596,0.810570987654321,0.5450865450217846
MCNC.SVM.1.3.5,0.7638888888888888,0.7638888888888888,0.6666666666666666,0.8275862068965517,0.8479407552599095,0.8101851851851852,0.538047198199169
MCNC.RF.1.4.1,0.625,0.618421052631579,0.5,0.6296296296296297,0.6392650384529399,0.5804953560371517,0.24423169902168215
MCNC.SVM.1.4.1,0.5277777777777778,0.5263157894736843,0.5,0.5,0.5934186731558602,0.5572755417956656,0.05263157894736842
MCNC.RF.1.4.2,0.7361111111111112,0.7148148148148148,0.6296296296296297,0.6538461538461539,0.7730669975637718,0.8518518518518519,0.4330287927378759
MCNC.SVM.1.4.2,0.7916666666666666,0.788888888888889,0.7777777777777778,0.7,0.6735280819747009,0.8222222222222222,0.5673665146135802
MCNC.RF.1.4.3,0.8055555555555556,0.7979149959903769,0.7586206896551724,0.7586206896551724,0.8298557513667043,0.8279871692060947,0.5958299919807538
MCNC.SVM.1.4.3,0.7361111111111112,0.7341619887730553,0.7241379310344828,0.65625,0.6964362936726918,0.8131515637530072,0.46224756868523714
MCNC.RF.1.4.4,0.8055555555555556,0.7761904761904761,0.6,0.9,0.8895258066482392,0.9043650793650794,0.6080052052987127
MCNC.SVM.1.4.4,0.8194444444444444,0.7976190476190477,0.6666666666666666,0.8695652173913043,0.8683047860030172,0.9007936507936508,0.6293815864734298
MCNC.RF.1.4.5,0.75,0.75,0.6388888888888888,0.8214285714285714,0.7757259903507631,0.8121141975308642,0.5128225940683707
MCNC.SVM.1.4.5,0.75,0.75,0.75,0.75,0.7641277055657164,0.8055555555555556,0.5
MCNC.RF.1.5.1,0.7808219178082192,0.7787878787878788,0.7575757575757576,0.7575757575757576,0.7827948676051708,0.8098484848484848,0.5575757575757576
MCNC.SVM.1.5.1,0.6712328767123288,0.665530303030303,0.6060606060606061,0.6451612903225806,0.6794383521421518,0.7431818181818182,0.3333411882889604
MCNC.RF.1.5.2,0.75,0.7481481481481481,0.7407407407407407,0.6451612903225806,0.6833641004086373,0.8065843621399177,0.4852397808290553
MCNC.SVM.1.5.2,0.7222222222222222,0.7185185185185186,0.7037037037037037,0.6129032258064516,0.6809686440317986,0.7991769547325103,0.42730070252110836
MCNC.RF.1.5.3,0.6944444444444444,0.6845003933910307,0.6129032258064516,0.6551724137931034,0.666455411355523,0.7261998426435876,0.37253479356219066
MCNC.SVM.1.5.3,0.6388888888888888,0.6239181746656176,0.5161290322580645,0.5925925925925926,0.6006325039733104,0.6601101494885916,0.2534834675972677
MCNC.RF.1.5.4,0.7916666666666666,0.7903474903474903,0.7428571428571429,0.8125,0.8006220045953708,0.8223938223938223,0.584087580041128
MCNC.SVM.1.5.4,0.7222222222222222,0.722007722007722,0.7142857142857143,0.7142857142857143,0.797241212854788,0.8065637065637066,0.444015444015444
MCNC.RF.1.5.5,0.7361111111111112,0.7328874901652243,0.7096774193548387,0.6875,0.8301963300754827,0.8064516129032259,0.4641346016004758
MCNC.SVM.1.5.5,0.7361111111111112,0.7407553107789142,0.7741935483870968,0.6666666666666666,0.7973554531205611,0.7993705743509048,0.4768438064352323
MCNC.RF.1.6.1,0.7671232876712328,0.7469278033794162,0.6129032258064516,0.7916666666666666,0.784466217048144,0.8172043010752689,0.5196390976348453
MCNC.SVM.1.6.1,0.6575342465753424,0.6601382488479263,0.6774193548387096,0.5833333333333334,0.6432981100447337,0.7434715821812596,0.3166492403208535
MCNC.RF.1.6.2,0.7222222222222222,0.7113071371291099,0.6551724137931034,0.6551724137931034,0.6976030444400756,0.7578187650360866,0.42261427425821974
MCNC.SVM.1.6.2,0.7361111111111112,0.7341619887730553,0.7241379310344828,0.65625,0.7198342442620878,0.7698476343223737,0.46224756868523714
MCNC.RF.1.6.3,0.7916666666666666,0.7775974025974026,0.7142857142857143,0.7407407407407407,0.7535316338965924,0.8262987012987013,0.5590653920196748
MCNC.SVM.1.6.3,0.75,0.7305194805194806,0.6428571428571429,0.6923076923076923,0.6442524333791085,0.7995129870129869,0.46792623145683215
MCNC.RF.1.6.4,0.7083333333333334,0.7084942084942085,0.7142857142857143,0.6944444444444444,0.698917600341526,0.6961389961389961,0.4168275107825463
MCNC.SVM.1.6.4,0.6805555555555556,0.6814671814671815,0.7142857142857143,0.6578947368421053,0.7123448332868737,0.6826254826254825,0.36335548204287754
