splits,accuracy,balanced_accuracy,recall,precision,AU_Prec_Rec_Curve,ROC_AUC,MCC
"('A375', 6, 10.0).csv.MCNC.RF.1.1",0.4,0.3668831168831169,0.09090909090909091,0.16666666666666666,0.3443779851926213,0.3701298701298701,-0.3094361654486796
"('A375', 6, 10.0).csv.MCNC.SVM.1.1",0.4,0.37662337662337664,0.18181818181818182,0.25,0.42415966528498505,0.3831168831168831,-0.2625752465908215
"('A375', 6, 10.0).csv.MCNC.RF.1.2",0.45,0.4191919191919192,0.1111111111111111,0.25,0.5015775618716796,0.5151515151515151,-0.20100756305184242
"('A375', 6, 10.0).csv.MCNC.SVM.1.2",0.35,0.35858585858585856,0.4444444444444444,0.3333333333333333,0.2966153934549187,0.1818181818181818,-0.28721347895177635
"('A375', 6, 10.0).csv.MCNC.RF.1.3",0.7111111111111111,0.5666666666666667,0.13333333333333333,1.0,0.47103459122492164,0.5777777777777778,0.30499714066520933
"('A375', 6, 10.0).csv.MCNC.SVM.1.3",0.5555555555555556,0.4833333333333333,0.26666666666666666,0.3076923076923077,0.3789027591114213,0.4866666666666667,-0.03466876226407682
"('A375', 6, 10.0).csv.MCNC.RF.1.4",0.375,0.375,0.125,0.25,0.41785298035298035,0.40625,-0.2886751345948129
"('A375', 6, 10.0).csv.MCNC.SVM.1.4",0.4375,0.4375,0.375,0.42857142857142855,0.6055954462204463,0.46875,-0.1259881576697424
"('A375', 6, 10.0).csv.MCNC.RF.1.5",0.625,0.5444444444444445,0.2222222222222222,0.5,0.5267972025776464,0.6592592592592592,0.11547005383792515
"('A375', 6, 10.0).csv.MCNC.SVM.1.5",0.5416666666666666,0.5222222222222221,0.4444444444444444,0.4,0.37560455513354063,0.5407407407407407,0.04364357804719848
"('A375', 6, 10.0).csv.MCNC.RF.1.6",0.7083333333333334,0.6888111888111889,0.45454545454545453,0.8333333333333334,0.7078524936145257,0.7692307692307693,0.4345240946267408
"('A375', 6, 10.0).csv.MCNC.SVM.1.6",0.5416666666666666,0.5279720279720279,0.36363636363636365,0.5,0.5486038244918524,0.44755244755244755,0.05913123959890826
"('A375', 6, 10.0).csv.MCNC.RF.1.7",0.43478260869565216,0.39615384615384613,0.1,0.2,0.4091458296605356,0.5307692307692308,-0.24961508830135312
"('A375', 6, 10.0).csv.MCNC.SVM.1.7",0.5652173913043478,0.5692307692307692,0.6,0.5,0.5095996277805741,0.6153846153846154,0.13740858372430334
"('A375', 6, 10.0).csv.MCNC.RF.1.8",0.6956521739130435,0.5916666666666667,0.25,0.6666666666666666,0.5781883965707495,0.6833333333333333,0.2592724864350674
"('A375', 6, 10.0).csv.MCNC.SVM.1.8",0.6521739130434783,0.5875,0.375,0.5,0.3812311318067897,0.5666666666666667,0.18981415059132414
"('A375', 6, 10.0).csv.MCNC.RF.1.9",0.45454545454545453,0.38461538461538464,0.0,0.0,0.4030377302436126,0.5384615384615384,-0.33062326126679026
"('A375', 6, 10.0).csv.MCNC.SVM.1.9",0.45454545454545453,0.4358974358974359,0.3333333333333333,0.3333333333333333,0.3327380040744334,0.40170940170940167,-0.1282051282051282
"('A375', 6, 10.0).csv.MCNC.RF.1.10",0.5625,0.375,0.0,0.0,0.178764985014985,0.3333333333333333,-0.2773500981126145
"('A375', 6, 10.0).csv.MCNC.SVM.1.10",0.625,0.6666666666666667,0.75,0.375,0.26891233766233763,0.6041666666666667,0.2886751345948129
"('A375', 6, 10.0).csv.MCNC.RF.2.1",0.56,0.5,0.0,0.0,0.5344030876088292,0.5941558441558441,0.0
"('A375', 6, 10.0).csv.MCNC.SVM.2.1",0.48,0.4577922077922078,0.2727272727272727,0.375,0.3615960034566173,0.40259740259740256,-0.0898283738337021
"('A375', 6, 10.0).csv.MCNC.RF.2.2",0.4,0.4444444444444444,0.0,0.0,0.4208687544512903,0.31313131313131315,-0.25362863675089403
"('A375', 6, 10.0).csv.MCNC.SVM.2.2",0.5,0.5252525252525253,0.2727272727272727,0.6,0.6950040034862719,0.5656565656565656,0.058025885318565944
"('A375', 6, 10.0).csv.MCNC.RF.2.3",0.5777777777777777,0.507085020242915,0.05263157894736842,0.5,0.3321178054684433,0.36032388663967607,0.03396138083737922
"('A375', 6, 10.0).csv.MCNC.SVM.2.3",0.4222222222222222,0.4149797570850202,0.3684210526315789,0.3333333333333333,0.3137617267774052,0.32186234817813764,-0.16834512458535864
"('A375', 6, 10.0).csv.MCNC.RF.2.4",0.6875,0.5833333333333334,0.16666666666666666,1.0,0.6042124542124542,0.5833333333333333,0.3333333333333333
"('A375', 6, 10.0).csv.MCNC.SVM.2.4",0.5,0.5,0.5,0.375,0.32570970695970697,0.4666666666666666,0.0
"('A375', 6, 10.0).csv.MCNC.RF.2.5",0.5833333333333334,0.4421052631578948,0.2,0.14285714285714285,0.17552233997886174,0.4421052631578948,-0.10345640946739358
"('A375', 6, 10.0).csv.MCNC.SVM.2.5",0.4166666666666667,0.3368421052631579,0.2,0.09090909090909091,0.2140713698066639,0.5789473684210527,-0.2659695218051501
"('A375', 6, 10.0).csv.MCNC.RF.2.6",0.6666666666666666,0.53125,0.125,0.5,0.3316900164786194,0.5625,0.10660035817780521
"('A375', 6, 10.0).csv.MCNC.SVM.2.6",0.6666666666666666,0.65625,0.625,0.5,0.2820927131340713,0.3671875,0.2988071523335984
"('A375', 6, 10.0).csv.MCNC.RF.2.7",0.43478260869565216,0.4884615384615385,0.07692307692307693,0.5,0.5589230406673354,0.5384615384615384,-0.04059989714705751
"('A375', 6, 10.0).csv.MCNC.SVM.2.7",0.5652173913043478,0.5923076923076923,0.38461538461538464,0.7142857142857143,0.5367707713682945,0.423076923076923,0.19889806323953876
"('A375', 6, 10.0).csv.MCNC.RF.2.8",0.6956521739130435,0.5,0.0,0.0,0.5023492797928888,0.6607142857142857,0.0
"('A375', 6, 10.0).csv.MCNC.SVM.2.8",0.6956521739130435,0.6205357142857143,0.42857142857142855,0.5,0.26048040169485087,0.37499999999999994,0.2526124011407279
"('A375', 6, 10.0).csv.MCNC.RF.2.9",0.7727272727272727,0.5833333333333334,0.16666666666666666,1.0,0.47201617826617825,0.65625,0.3563483225498992
"('A375', 6, 10.0).csv.MCNC.SVM.2.9",0.45454545454545453,0.5208333333333333,0.6666666666666666,0.2857142857142857,0.44125993402309194,0.53125,0.03857583749052298
"('A375', 6, 10.0).csv.MCNC.RF.2.10",0.5,0.5,0.0,0.0,0.3883812368187368,0.328125,0.0
"('A375', 6, 10.0).csv.MCNC.SVM.2.10",0.4375,0.4375,0.25,0.4,0.6785086441336441,0.609375,-0.13483997249264842
"('A375', 6, 10.0).csv.MCNC.RF.3.1",0.28,0.2916666666666667,0.0,0.0,0.3573634066926983,0.1858974358974359,-0.5204164998665332
"('A375', 6, 10.0).csv.MCNC.SVM.3.1",0.48,0.4903846153846154,0.23076923076923078,0.5,0.5859007117092376,0.5064102564102564,-0.02249606353329238
"('A375', 6, 10.0).csv.MCNC.RF.3.2",0.75,0.5,0.0,0.0,0.517484090127279,0.6,0.0
"('A375', 6, 10.0).csv.MCNC.SVM.3.2",0.5,0.4,0.2,0.14285714285714285,0.23445526695526694,0.5333333333333333,-0.18156825980064073
"('A375', 6, 10.0).csv.MCNC.RF.3.3",0.5777777777777777,0.5,0.0,0.0,0.46586564585484336,0.48582995951417,0.0
"('A375', 6, 10.0).csv.MCNC.SVM.3.3",0.5555555555555556,0.5091093117408907,0.21052631578947367,0.4444444444444444,0.33923690540952633,0.38663967611336036,0.02249606353329238
"('A375', 6, 10.0).csv.MCNC.RF.3.4",0.8125,0.7,0.4,1.0,0.6498611111111111,0.6727272727272727,0.5606119105813882
"('A375', 6, 10.0).csv.MCNC.SVM.3.4",0.5625,0.6272727272727273,0.8,0.4,0.489265873015873,0.5818181818181818,0.24370871833797697
"('A375', 6, 10.0).csv.MCNC.RF.3.5",0.5,0.5,0.0,0.0,0.6324015409853005,0.5694444444444445,0.0
"('A375', 6, 10.0).csv.MCNC.SVM.3.5",0.3333333333333333,0.33333333333333337,0.25,0.3,0.4000725638572253,0.3819444444444444,-0.3380617018914066
"('A375', 6, 10.0).csv.MCNC.RF.3.6",0.5416666666666666,0.506993006993007,0.09090909090909091,0.5,0.6135394240340765,0.6923076923076923,0.02521364528296496
"('A375', 6, 10.0).csv.MCNC.SVM.3.6",0.5833333333333334,0.5734265734265734,0.45454545454545453,0.5555555555555556,0.7096295225480299,0.6503496503496503,0.15114173098063566
"('A375', 6, 10.0).csv.MCNC.RF.3.7",0.6086956521739131,0.5396825396825397,0.2222222222222222,0.5,0.3868849091964024,0.45238095238095244,0.10218988991416098
"('A375', 6, 10.0).csv.MCNC.SVM.3.7",0.5652173913043478,0.5634920634920635,0.5555555555555556,0.45454545454545453,0.3918245659473729,0.5476190476190477,0.12406456138646277
"('A375', 6, 10.0).csv.MCNC.RF.3.8",0.7391304347826086,0.4722222222222222,0.0,0.0,0.22619896443425852,0.5777777777777778,-0.11236664374387369
"('A375', 6, 10.0).csv.MCNC.SVM.3.8",0.6521739130434783,0.5611111111111111,0.4,0.2857142857142857,0.4385110967463909,0.6444444444444444,0.10956262252231942
"('A375', 6, 10.0).csv.MCNC.RF.3.9",0.6363636363636364,0.4666666666666667,0.0,0.0,0.41020688977345315,0.5523809523809524,-0.14907119849998599
"('A375', 6, 10.0).csv.MCNC.SVM.3.9",0.7272727272727273,0.6857142857142857,0.5714285714285714,0.5714285714285714,0.6392737796873135,0.6285714285714286,0.37142857142857144
"('A375', 6, 10.0).csv.MCNC.RF.3.10",0.4375,0.4375,0.0,0.0,0.4338696026196026,0.4375,-0.2581988897471611
"('A375', 6, 10.0).csv.MCNC.SVM.3.10",0.5625,0.5625,0.375,0.6,0.573931623931624,0.703125,0.13483997249264842
"('A375', 6, 10.0).csv.MCNC.RF.4.1",0.56,0.4861111111111111,0.2222222222222222,0.3333333333333333,0.35257305961696417,0.5208333333333334,-0.031219527052723135
"('A375', 6, 10.0).csv.MCNC.SVM.4.1",0.4,0.38541666666666663,0.3333333333333333,0.25,0.37850421508316245,0.5555555555555556,-0.22017621148199482
"('A375', 6, 10.0).csv.MCNC.RF.4.2",0.45,0.45,0.0,0.0,0.43297868948217244,0.42999999999999994,-0.22941573387056174
"('A375', 6, 10.0).csv.MCNC.SVM.4.2",0.45,0.45,0.4,0.4444444444444444,0.517145356148839,0.44999999999999996,-0.10050378152592121
"('A375', 6, 10.0).csv.MCNC.RF.4.3",0.6444444444444445,0.48732718894009214,0.07142857142857142,0.25,0.26727458627223694,0.4216589861751152,-0.0412311925578649
"('A375', 6, 10.0).csv.MCNC.SVM.4.3",0.6,0.43548387096774194,0.0,0.0,0.29907624754721895,0.5345622119815668,-0.2099042530218577
"('A375', 6, 10.0).csv.MCNC.RF.4.4",0.625,0.38461538461538464,0.0,0.0,0.140986790986791,0.3846153846153846,-0.23076923076923078
"('A375', 6, 10.0).csv.MCNC.SVM.4.4",0.625,0.641025641025641,0.6666666666666666,0.2857142857142857,0.1645299145299145,0.4615384615384615,0.2219167619785609
"('A375', 6, 10.0).csv.MCNC.RF.4.5",0.5833333333333334,0.53125,0.375,0.375,0.34401865376550733,0.5625,0.0625
"('A375', 6, 10.0).csv.MCNC.SVM.4.5",0.625,0.59375,0.5,0.4444444444444444,0.5735800759697818,0.671875,0.18257418583505539
"('A375', 6, 10.0).csv.MCNC.RF.4.6",0.5,0.5,0.0,0.0,0.6806150713464956,0.6736111111111112,0.0
"('A375', 6, 10.0).csv.MCNC.SVM.4.6",0.5416666666666666,0.5416666666666666,0.4166666666666667,0.5555555555555556,0.565043543550072,0.47916666666666663,0.08606629658238706
"('A375', 6, 10.0).csv.MCNC.RF.4.7",0.4782608695652174,0.4126984126984127,0.1111111111111111,0.2,0.384177293311542,0.3412698412698413,-0.2065932622669707
"('A375', 6, 10.0).csv.MCNC.SVM.4.7",0.5652173913043478,0.5436507936507937,0.4444444444444444,0.4444444444444444,0.4541858828376753,0.4841269841269842,0.0873015873015873
"('A375', 6, 10.0).csv.MCNC.RF.4.8",0.4782608695652174,0.4583333333333333,0.0,0.0,0.39614327529117843,0.393939393939394,-0.2041241452319315
"('A375', 6, 10.0).csv.MCNC.SVM.4.8",0.6086956521739131,0.6022727272727273,0.45454545454545453,0.625,0.3369081809014689,0.24242424242424243,0.21452908258025827
"('A375', 6, 10.0).csv.MCNC.RF.4.9",0.5454545454545454,0.46153846153846156,0.0,0.0,0.33404019679819474,0.41025641025641024,-0.18156825980064073
"('A375', 6, 10.0).csv.MCNC.SVM.4.9",0.3181818181818182,0.2863247863247863,0.1111111111111111,0.125,0.2841940915599326,0.24786324786324787,-0.4367853486341326
"('A375', 6, 10.0).csv.MCNC.RF.4.10",0.4375,0.5,0.0,0.0,0.6224402911902911,0.5079365079365079,0.0
"('A375', 6, 10.0).csv.MCNC.SVM.4.10",0.375,0.3968253968253968,0.2222222222222222,0.4,0.5365058552558553,0.5238095238095238,-0.22084711628963774
"('A549', 24, 10.0).csv.MCNC.RF.1.1",0.4666666666666667,0.41666666666666663,0.16666666666666666,0.25,0.38575498575498574,0.5370370370370371,-0.1846372364689991
"('A549', 24, 10.0).csv.MCNC.SVM.1.1",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3536241536241536,0.4444444444444445,-0.32732683535398854
"('A549', 24, 10.0).csv.MCNC.RF.1.2",0.42857142857142855,0.42857142857142855,0.2857142857142857,0.4,0.5524045399045399,0.4489795918367347,-0.14907119849998599
"('A549', 24, 10.0).csv.MCNC.SVM.1.2",0.35714285714285715,0.3571428571428571,0.2857142857142857,0.3333333333333333,0.4220190523761952,0.3673469387755102,-0.28867513459481287
"('A549', 24, 10.0).csv.MCNC.RF.1.3",0.8360655737704918,0.5401960784313725,0.1,0.5,0.271424394376468,0.4764705882352941,0.1671312898965338
"('A549', 24, 10.0).csv.MCNC.SVM.1.3",0.4262295081967213,0.37549019607843137,0.3,0.0967741935483871,0.35073814995148433,0.7235294117647059,-0.18440689639122362
"('A549', 24, 10.0).csv.MCNC.RF.1.4",0.45454545454545453,0.4166666666666667,0.0,0.0,0.3368253968253968,0.30000000000000004,-0.28867513459481287
"('A549', 24, 10.0).csv.MCNC.SVM.1.4",0.36363636363636365,0.35,0.2,0.25,0.321031746031746,0.2666666666666666,-0.3105295017040594
"('A549', 24, 10.0).csv.MCNC.RF.1.5",0.6428571428571429,0.45,0.0,0.0,0.3530448717948718,0.6249999999999999,-0.17541160386140586
"('A549', 24, 10.0).csv.MCNC.SVM.1.5",0.5,0.35,0.0,0.0,0.2079996392496392,0.325,-0.3302891295379082
"('A549', 24, 10.0).csv.MCNC.RF.1.6",0.4444444444444444,0.475,0.2,0.5,0.5084402852049911,0.5,-0.05976143046671968
"('A549', 24, 10.0).csv.MCNC.SVM.1.6",0.5,0.5375,0.2,0.6666666666666666,0.5387624875124876,0.55,0.1
"('A549', 24, 10.0).csv.MCNC.RF.1.7",0.4444444444444444,0.425,0.25,0.3333333333333333,0.5452015917089447,0.45000000000000007,-0.15811388300841897
"('A549', 24, 10.0).csv.MCNC.SVM.1.7",0.5,0.475,0.25,0.4,0.5227751517273576,0.3625,-0.05547001962252291
"('A549', 24, 10.0).csv.MCNC.RF.1.8",0.5625,0.5181818181818182,0.4,0.3333333333333333,0.296494338994339,0.509090909090909,0.034815531191139566
"('A549', 24, 10.0).csv.MCNC.SVM.1.8",0.5,0.5272727272727272,0.6,0.3333333333333333,0.3699467199467199,0.5818181818181818,0.050964719143762556
"('A549', 24, 10.0).csv.MCNC.RF.1.9",0.6153846153846154,0.5833333333333333,0.5,0.4,0.2847853535353535,0.4722222222222222,0.15811388300841897
"('A549', 24, 10.0).csv.MCNC.SVM.1.9",0.38461538461538464,0.3472222222222222,0.25,0.16666666666666666,0.2602813852813852,0.41666666666666674,-0.2828894749305018
"('A549', 24, 10.0).csv.MCNC.RF.1.10",0.4166666666666667,0.3125,0.0,0.0,0.26240079365079366,0.375,-0.408248290463863
"('A549', 24, 10.0).csv.MCNC.SVM.1.10",0.5,0.4375,0.25,0.25,0.28293650793650793,0.46875,-0.125
"('A549', 24, 10.0).csv.MCNC.RF.2.1",0.8,0.46153846153846156,0.0,0.0,0.2875,0.846153846153846,-0.10482848367219183
"('A549', 24, 10.0).csv.MCNC.SVM.2.1",0.7333333333333333,0.8461538461538461,1.0,0.3333333333333333,0.3333333333333333,0.8846153846153846,0.4803844614152614
"('A549', 24, 10.0).csv.MCNC.RF.2.2",0.6428571428571429,0.5,0.0,0.0,0.47725274725274724,0.4666666666666667,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.2.2",0.42857142857142855,0.3333333333333333,0.0,0.0,0.23899433899433897,0.22222222222222227,-0.3892494720807615
"('A549', 24, 10.0).csv.MCNC.RF.2.3",0.6229508196721312,0.5,0.0,0.0,0.4978998234444739,0.5291762013729977,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.2.3",0.4262295081967213,0.4536613272311213,0.5652173913043478,0.34210526315789475,0.42541082728035895,0.5583524027459954,-0.09267734553775744
"('A549', 24, 10.0).csv.MCNC.RF.2.4",0.5454545454545454,0.5,0.0,0.0,0.7133333333333332,0.7500000000000001,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.2.4",0.8181818181818182,0.8,0.6,1.0,0.7925974025974025,0.7,0.6708203932499369
"('A549', 24, 10.0).csv.MCNC.RF.2.5",0.7142857142857143,0.5,0.0,0.0,0.2669642857142857,0.5375,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.2.5",0.7142857142857143,0.575,0.25,0.5,0.22141608391608392,0.3,0.19364916731037085
"('A549', 24, 10.0).csv.MCNC.RF.2.6",0.6111111111111112,0.5,0.0,0.0,0.38489517018928787,0.5584415584415585,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.2.6",0.5555555555555556,0.5064935064935066,0.2857142857142857,0.4,0.502181449502878,0.5584415584415584,0.01413506985480439
"('A549', 24, 10.0).csv.MCNC.RF.2.7",0.6111111111111112,0.5,0.0,0.0,0.28720456714154197,0.3246753246753246,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.2.7",0.4444444444444444,0.41558441558441556,0.2857142857142857,0.2857142857142857,0.2779673757614934,0.2987012987012987,-0.16883116883116883
"('A549', 24, 10.0).csv.MCNC.RF.2.8",0.8125,0.6282051282051282,0.3333333333333333,0.5,0.45595238095238094,0.5384615384615384,0.30261376633440124
"('A549', 24, 10.0).csv.MCNC.SVM.2.8",0.75,0.46153846153846156,0.0,0.0,0.12792207792207794,0.30769230769230765,-0.12403473458920847
"('A549', 24, 10.0).csv.MCNC.RF.2.9",0.6923076923076923,0.45,0.0,0.0,0.2132936507936508,0.5,-0.15811388300841897
"('A549', 24, 10.0).csv.MCNC.SVM.2.9",0.5384615384615384,0.4666666666666667,0.3333333333333333,0.2,0.21428571428571427,0.5333333333333333,-0.05773502691896257
"('A549', 24, 10.0).csv.MCNC.RF.2.10",0.5,0.375,0.0,0.0,0.24292478354978353,0.3125,-0.31622776601683794
"('A549', 24, 10.0).csv.MCNC.SVM.2.10",0.5,0.5,0.5,0.3333333333333333,0.25625,0.375,0.0
"('A549', 24, 10.0).csv.MCNC.RF.3.1",0.9333333333333333,0.5,0.0,0.0,0.16666666666666666,0.8571428571428572,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.3.1",0.8,0.8928571428571428,1.0,0.25,0.25,0.9285714285714286,0.44320263021395917
"('A549', 24, 10.0).csv.MCNC.RF.3.2",0.5714285714285714,0.5,0.0,0.0,0.7324430199430199,0.7083333333333333,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.3.2",0.7142857142857143,0.6666666666666666,0.3333333333333333,1.0,0.26626105376105375,0.10416666666666666,0.47140452079103173
"('A549', 24, 10.0).csv.MCNC.RF.3.3",0.639344262295082,0.5,0.0,0.0,0.33750668749814283,0.5046620046620047,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.3.3",0.6065573770491803,0.504079254079254,0.13636363636363635,0.375,0.35177469532910516,0.4988344988344989,0.011605703411404402
"('A549', 24, 10.0).csv.MCNC.RF.3.4",0.9090909090909091,0.5,0.0,0.0,1.0,1.0,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.3.4",0.8181818181818182,0.9,1.0,0.3333333333333333,0.16666666666666666,0.8,0.5163977794943222
"('A549', 24, 10.0).csv.MCNC.RF.3.5",0.5,0.5,0.0,0.0,0.7178751803751804,0.7040816326530612,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.3.5",0.5714285714285714,0.5714285714285714,0.2857142857142857,0.6666666666666666,0.6362351933780506,0.6122448979591837,0.17407765595569785
"('A549', 24, 10.0).csv.MCNC.RF.3.6",0.7222222222222222,0.5,0.0,0.0,0.42648118221647635,0.5230769230769231,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.3.6",0.7777777777777778,0.6615384615384616,0.4,0.6666666666666666,0.648743086978381,0.6461538461538462,0.3882901373576604
"('A549', 24, 10.0).csv.MCNC.RF.3.7",0.6666666666666666,0.5,0.0,0.0,0.5223695286195286,0.6944444444444444,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.3.7",0.6111111111111112,0.5833333333333333,0.5,0.42857142857142855,0.6623437632628809,0.611111111111111,0.16116459280507606
"('A549', 24, 10.0).csv.MCNC.RF.3.8",0.5625,0.5,0.0,0.0,0.3580443366157651,0.39682539682539686,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.3.8",0.5,0.47619047619047616,0.2857142857142857,0.4,0.3994189342403628,0.4603174603174603,-0.050964719143762556
"('A549', 24, 10.0).csv.MCNC.RF.3.9",0.6923076923076923,0.5,0.0,0.0,0.6534090909090909,0.6388888888888888,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.3.9",0.7692307692307693,0.7638888888888888,0.75,0.6,0.6645833333333333,0.7777777777777779,0.5006939628599933
"('A549', 24, 10.0).csv.MCNC.RF.3.10",0.6666666666666666,0.5,0.0,0.0,0.26727994227994223,0.375,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.3.10",0.5833333333333334,0.5,0.25,0.3333333333333333,0.5424242424242424,0.59375,0.0
"('A549', 24, 10.0).csv.MCNC.RF.4.1",0.4666666666666667,0.5,0.0,0.0,0.8201083638583639,0.7857142857142856,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.4.1",0.5333333333333333,0.5625,0.125,1.0,0.4231057137307137,0.35714285714285715,0.25
"('A549', 24, 10.0).csv.MCNC.RF.4.2",0.7857142857142857,0.5,0.0,0.0,0.34444444444444444,0.7878787878787878,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.4.2",0.7142857142857143,0.696969696969697,0.6666666666666666,0.4,0.1397727272727273,0.24242424242424238,0.3373495424699933
"('A549', 24, 10.0).csv.MCNC.RF.4.3",0.7049180327868853,0.5,0.0,0.0,0.4832209692255841,0.6291989664082688,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.4.3",0.45901639344262296,0.5516795865633075,0.7777777777777778,0.32558139534883723,0.28108021467667005,0.5180878552971576,0.10335917312661498
"('A549', 24, 10.0).csv.MCNC.RF.4.4",0.7272727272727273,0.5,0.0,0.0,0.3492063492063492,0.7083333333333333,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.4.4",0.6363636363636364,0.5416666666666666,0.3333333333333333,0.3333333333333333,0.6148148148148147,0.6666666666666666,0.08333333333333333
"('A549', 24, 10.0).csv.MCNC.RF.4.5",0.7142857142857143,0.5,0.0,0.0,0.28293650793650793,0.5750000000000001,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.4.5",0.35714285714285715,0.325,0.25,0.14285714285714285,0.7795138888888888,0.8500000000000001,-0.31622776601683794
"('A549', 24, 10.0).csv.MCNC.RF.4.6",0.5,0.45,0.0,0.0,0.3744627206943383,0.4375,-0.21693045781865616
"('A549', 24, 10.0).csv.MCNC.SVM.4.6",0.5,0.475,0.25,0.4,0.3922659856483386,0.45000000000000007,-0.05547001962252291
"('A549', 24, 10.0).csv.MCNC.RF.4.7",0.6666666666666666,0.5,0.0,0.0,0.3222269356460533,0.5138888888888888,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.4.7",0.7222222222222222,0.6666666666666667,0.5,0.6,0.4297106556297733,0.4444444444444444,0.35082320772281167
"('A549', 24, 10.0).csv.MCNC.RF.4.8",0.5,0.5,0.0,0.0,0.3658955627705628,0.28125,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.4.8",0.4375,0.4375,0.125,0.3333333333333333,0.49976898101898104,0.359375,-0.16012815380508713
"('A549', 24, 10.0).csv.MCNC.RF.4.9",0.7692307692307693,0.5,0.0,0.0,0.40555555555555556,0.8333333333333334,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.4.9",0.6923076923076923,0.5666666666666667,0.3333333333333333,0.3333333333333333,0.2636363636363636,0.5666666666666667,0.13333333333333333
"('A549', 24, 10.0).csv.MCNC.RF.4.10",0.8333333333333334,0.5,0.0,0.0,0.10170454545454546,0.2,0.0
"('A549', 24, 10.0).csv.MCNC.SVM.4.10",0.5833333333333334,0.35,0.0,0.0,0.3333333333333333,0.8500000000000001,-0.25819888974716115
All_Cell_Lines.csv.MCNC.RF.1.1,0.501779359430605,0.4711188520328584,0.2796610169491525,0.375,0.3734971937294942,0.47244462930227715,-0.06146944083301001
All_Cell_Lines.csv.MCNC.SVM.1.1,0.47686832740213525,0.47421233232816884,0.4576271186440678,0.39416058394160586,0.3817563514396124,0.46352812727461784,-0.05092550409969286
All_Cell_Lines.csv.MCNC.RF.1.2,0.4566929133858268,0.46215880893300254,0.6935483870967742,0.46236559139784944,0.4471209128091709,0.44875930521091806,-0.085441011959283
All_Cell_Lines.csv.MCNC.SVM.1.2,0.48031496062992124,0.48039702233250625,0.4838709677419355,0.46875,0.5025480553969512,0.5075992555831266,-0.03919623042963273
All_Cell_Lines.csv.MCNC.RF.1.3,0.7741935483870968,0.5800598802395209,0.22,0.5238095238095238,0.4744620394251987,0.8089554224883566,0.2280607175817582
All_Cell_Lines.csv.MCNC.SVM.1.3,0.7465437788018433,0.6578443113772455,0.49333333333333335,0.4539877300613497,0.41059246262584975,0.7880372588157019,0.3068454654610135
All_Cell_Lines.csv.MCNC.RF.1.4,0.533678756476684,0.5511866235167207,0.8111111111111111,0.5,0.5610324573157021,0.5701186623516721,0.11898740374218483
All_Cell_Lines.csv.MCNC.SVM.1.4,0.5233160621761658,0.523948220064725,0.5333333333333333,0.4897959183673469,0.49129153896656885,0.5416936353829558,0.0477934369131763
All_Cell_Lines.csv.MCNC.RF.1.5,0.6515151515151515,0.6747474747474747,0.7676767676767676,0.5241379310344828,0.5121722119284472,0.7038261401897765,0.34005016646849573
All_Cell_Lines.csv.MCNC.SVM.1.5,0.5606060606060606,0.5595959595959596,0.5555555555555556,0.4330708661417323,0.4277509921654457,0.6030915212733394,0.1154899618959745
All_Cell_Lines.csv.MCNC.RF.1.6,0.4870848708487085,0.49092840797646287,0.6992481203007519,0.484375,0.5176658825221847,0.504903563255966,-0.01995789391480186
All_Cell_Lines.csv.MCNC.SVM.1.6,0.4797047970479705,0.4782336275471287,0.39849624060150374,0.4649122807017544,0.4652013365841523,0.46039010569903016,-0.04408381424620779
All_Cell_Lines.csv.MCNC.RF.1.7,0.4831081081081081,0.5053308823529412,0.7794117647058824,0.462882096069869,0.5333556807991588,0.5473805147058823,0.012697066578205024
All_Cell_Lines.csv.MCNC.SVM.1.7,0.42567567567567566,0.42463235294117646,0.4117647058823529,0.3835616438356164,0.407620848287298,0.4302389705882353,-0.15025271933291348
All_Cell_Lines.csv.MCNC.RF.1.8,0.5609756097560976,0.6115192164377729,0.7821782178217822,0.43169398907103823,0.44642614294402816,0.640423719791334,0.22159229194571492
