"dataset","method","descriptor","testset","true_or_y_scrambled_labels_used","train_test_split","cv_split","accuracy","balanced_accuracy","recall","precision","AU_Prec_Rec_Curve","ROC_AUC","MCC","X","specificity","dataset_readable"
"MCNC","RF","ECFP","CV","1","2","5",0.75,0.75,0.694444444444444,0.78125,0.832899797042291,0.797839506172839,0.503115294937453,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","2","5",0.75,0.75,0.722222222222222,0.764705882352941,0.835133514123364,0.807098765432099,0.500773395667191,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","3","1",0.666666666666667,0.662004662004662,0.606060606060606,0.645161290322581,0.747733191968671,0.763791763791764,0.326042343636726,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","3","1",0.638888888888889,0.643356643356643,0.696969696969697,0.58974358974359,0.642934187680148,0.694638694638695,0.286713286713287,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","3","2",0.763888888888889,0.72962962962963,0.592592592592593,0.727272727272727,0.68336930215328,0.790946502057613,0.482669345380144,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","3","2",0.763888888888889,0.751851851851852,0.703703703703704,0.678571428571429,0.682373826786693,0.762962962962963,0.500216403386025,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","3","3",0.763888888888889,0.768644747393745,0.793103448275862,0.676470588235294,0.813305332591345,0.849238171611868,0.527849748701313,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","3","3",0.75,0.762630312750601,0.827586206896552,0.648648648648649,0.792453190637964,0.846030473135525,0.515434149727433,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","3","4",0.708333333333333,0.69669551534225,0.612903225806452,0.678571428571429,0.749092337544215,0.748623131392604,0.399569081342405,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","3","4",0.736111111111111,0.728953579858379,0.67741935483871,0.7,0.763794345709527,0.801730920535012,0.459901617287279,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","3","5",0.763888888888889,0.763888888888889,0.638888888888889,0.851851851851852,0.82869037076216,0.810570987654321,0.545086545021785,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","3","5",0.763888888888889,0.763888888888889,0.666666666666667,0.827586206896552,0.84794075525991,0.810185185185185,0.538047198199169,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","4","1",0.625,0.618421052631579,0.5,0.62962962962963,0.63926503845294,0.580495356037152,0.244231699021682,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","4","1",0.527777777777778,0.526315789473684,0.5,0.5,0.59341867315586,0.557275541795666,0.0526315789473684,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","4","2",0.736111111111111,0.714814814814815,0.62962962962963,0.653846153846154,0.773066997563772,0.851851851851852,0.433028792737876,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","4","2",0.791666666666667,0.788888888888889,0.777777777777778,0.7,0.673528081974701,0.822222222222222,0.56736651461358,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","4","3",0.805555555555556,0.797914995990377,0.758620689655172,0.758620689655172,0.829855751366704,0.827987169206095,0.595829991980754,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","4","3",0.736111111111111,0.734161988773055,0.724137931034483,0.65625,0.696436293672692,0.813151563753007,0.462247568685237,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","4","4",0.805555555555556,0.776190476190476,0.6,0.9,0.889525806648239,0.904365079365079,0.608005205298713,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","4","4",0.819444444444444,0.797619047619048,0.666666666666667,0.869565217391304,0.868304786003017,0.900793650793651,0.62938158647343,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","4","5",0.75,0.75,0.638888888888889,0.821428571428571,0.775725990350763,0.812114197530864,0.512822594068371,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","4","5",0.75,0.75,0.75,0.75,0.764127705565716,0.805555555555556,0.5,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","5","1",0.780821917808219,0.778787878787879,0.757575757575758,0.757575757575758,0.782794867605171,0.809848484848485,0.557575757575758,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","5","1",0.671232876712329,0.665530303030303,0.606060606060606,0.645161290322581,0.679438352142152,0.743181818181818,0.33334118828896,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","5","2",0.75,0.748148148148148,0.740740740740741,0.645161290322581,0.683364100408637,0.806584362139918,0.485239780829055,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","5","2",0.722222222222222,0.718518518518519,0.703703703703704,0.612903225806452,0.680968644031799,0.79917695473251,0.427300702521108,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","5","3",0.694444444444444,0.684500393391031,0.612903225806452,0.655172413793103,0.666455411355523,0.726199842643588,0.372534793562191,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","5","3",0.638888888888889,0.623918174665618,0.516129032258065,0.592592592592593,0.60063250397331,0.660110149488592,0.253483467597268,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","5","4",0.791666666666667,0.79034749034749,0.742857142857143,0.8125,0.800622004595371,0.822393822393822,0.584087580041128,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","5","4",0.722222222222222,0.722007722007722,0.714285714285714,0.714285714285714,0.797241212854788,0.806563706563707,0.444015444015444,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","5","5",0.736111111111111,0.732887490165224,0.709677419354839,0.6875,0.830196330075483,0.806451612903226,0.464134601600476,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","5","5",0.736111111111111,0.740755310778914,0.774193548387097,0.666666666666667,0.797355453120561,0.799370574350905,0.476843806435232,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","6","1",0.767123287671233,0.746927803379416,0.612903225806452,0.791666666666667,0.784466217048144,0.817204301075269,0.519639097634845,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","6","1",0.657534246575342,0.660138248847926,0.67741935483871,0.583333333333333,0.643298110044734,0.74347158218126,0.316649240320854,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","6","2",0.722222222222222,0.71130713712911,0.655172413793103,0.655172413793103,0.697603044440076,0.757818765036087,0.42261427425822,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","6","2",0.736111111111111,0.734161988773055,0.724137931034483,0.65625,0.719834244262088,0.769847634322374,0.462247568685237,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","6","3",0.791666666666667,0.777597402597403,0.714285714285714,0.740740740740741,0.753531633896592,0.826298701298701,0.559065392019675,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","6","3",0.75,0.730519480519481,0.642857142857143,0.692307692307692,0.644252433379109,0.799512987012987,0.467926231456832,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","6","4",0.708333333333333,0.708494208494209,0.714285714285714,0.694444444444444,0.698917600341526,0.696138996138996,0.416827510782546,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","6","4",0.680555555555556,0.681467181467182,0.714285714285714,0.657894736842105,0.712344833286874,0.682625482625483,0.363355482042878,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","6","5",0.736111111111111,0.729876160990712,0.617647058823529,0.777777777777778,0.726076982700004,0.811919504643963,0.474096827512677,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","6","5",0.763888888888889,0.762383900928793,0.735294117647059,0.757575757575758,0.69184108634635,0.794117647058824,0.525786176193793,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","7","1",0.712328767123288,0.713636363636364,0.727272727272727,0.666666666666667,0.766357345543576,0.763257575757576,0.425343720909667,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","7","1",0.589041095890411,0.590530303030303,0.606060606060606,0.540540540540541,0.588312299867493,0.647727272727273,0.180243172513139,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","7","2",0.722222222222222,0.709375,0.59375,0.730769230769231,0.795786021350339,0.7609375,0.433205752593692,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","7","2",0.75,0.740625,0.65625,0.75,0.80792548953947,0.80234375,0.490535421758715,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","7","3",0.694444444444444,0.676632572777341,0.548387096774194,0.68,0.667817894534547,0.756490952006294,0.36741309622827,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","7","3",0.708333333333333,0.700629425649095,0.645161290322581,0.666666666666667,0.642075500675046,0.734067663257278,0.403006571849678,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","7","4",0.777777777777778,0.766899766899767,0.636363636363636,0.84,0.847106977291117,0.849261849261849,0.558661226253789,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","7","4",0.777777777777778,0.773892773892774,0.727272727272727,0.774193548387097,0.866935771808634,0.851592851592852,0.551222667299501,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","7","5",0.791666666666667,0.777597402597403,0.714285714285714,0.740740740740741,0.671009778190278,0.836444805194805,0.559065392019675,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","7","5",0.791666666666667,0.790584415584416,0.785714285714286,0.709677419354839,0.635232878318766,0.792207792207792,0.572182924482324,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","8","1",0.684931506849315,0.68506006006006,0.694444444444444,0.675675675675676,0.742223217891884,0.726726726726727,0.37012012012012,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","8","1",0.643835616438356,0.643393393393393,0.611111111111111,0.647058823529412,0.56263519153651,0.656906906906907,0.28743489334619,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","8","2",0.753424657534247,0.746189024390244,0.6875,0.733333333333333,0.796407092701225,0.83155487804878,0.496558871434346,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","8","2",0.684931506849315,0.678353658536585,0.625,0.645161290322581,0.752674108742116,0.766006097560976,0.358074540625011,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","8","3",0.722222222222222,0.709523809523809,0.633333333333333,0.678571428571429,0.723376633520491,0.769047619047619,0.423782770691181,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","8","3",0.694444444444444,0.680952380952381,0.6,0.642857142857143,0.679552238693826,0.726984126984127,0.365994211051474,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","8","4",0.777777777777778,0.772727272727273,0.75,0.7,0.819309633521632,0.863636363636364,0.539359889970594,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","8","4",0.736111111111111,0.738636363636364,0.75,0.636363636363636,0.712338469336651,0.797077922077922,0.466963245448854,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","8","5",0.736111111111111,0.732887490165224,0.709677419354839,0.6875,0.803371858044832,0.778127458693942,0.464134601600476,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","8","5",0.652777777777778,0.651848937844217,0.645161290322581,0.588235294117647,0.734069763096328,0.749409913453973,0.301219631276,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","9","1",0.753424657534247,0.753048780487805,0.75,0.705882352941177,0.766144186962016,0.789253048780488,0.503418764903102,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","9","1",0.698630136986301,0.700838414634146,0.71875,0.638888888888889,0.678700351100876,0.752286585365854,0.398649831878491,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","9","2",0.780821917808219,0.763565891472868,0.666666666666667,0.769230769230769,0.847207896762559,0.841860465116279,0.541599749244996,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","9","2",0.73972602739726,0.743798449612403,0.766666666666667,0.657142857142857,0.814347014157903,0.826356589147287,0.480208640128891,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","9","3",0.680555555555556,0.667832167832168,0.515151515151515,0.708333333333333,0.719055229239232,0.752913752913753,0.35478743759345,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","9","3",0.708333333333333,0.7004662004662,0.606060606060606,0.714285714285714,0.677627700319935,0.74980574980575,0.40978407253675,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","9","4",0.791666666666667,0.788095238095238,0.766666666666667,0.741935483870968,0.790666537105635,0.819444444444445,0.573691708162482,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","9","4",0.722222222222222,0.728571428571429,0.766666666666667,0.638888888888889,0.679626701805717,0.793650793650794,0.450748935855209,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","9","5",0.75,0.746875,0.71875,0.71875,0.829246654547622,0.837109375,0.49375,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","9","5",0.763888888888889,0.765625,0.78125,0.714285714285714,0.820127493835535,0.8296875,0.52816430110102,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","10","1",0.643835616438356,0.643181818181818,0.636363636363636,0.6,0.729572915324306,0.758712121212121,0.285285050096588,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","10","1",0.63013698630137,0.635984848484848,0.696969696969697,0.575,0.591171827932865,0.665909090909091,0.271969696969697,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","10","2",0.726027397260274,0.704924242424242,0.484848484848485,0.842105263157895,0.793833249511628,0.831439393939394,0.464875457868545,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","10","2",0.73972602739726,0.722727272727273,0.545454545454545,0.818181818181818,0.719160502120499,0.779545454545455,0.48316329241428,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","10","3",0.75,0.753125,0.78125,0.694444444444444,0.791068765317226,0.784375,0.503115294937453,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","10","3",0.763888888888889,0.778125,0.90625,0.674418604651163,0.765842943319144,0.80234375,0.563562104287481,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","10","4",0.777777777777778,0.766899766899767,0.636363636363636,0.84,0.80039326888973,0.806138306138306,0.558661226253789,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","10","4",0.763888888888889,0.763403263403263,0.757575757575758,0.735294117647059,0.781659631782275,0.802641802641803,0.525786176193793,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","1","10","5",0.694444444444444,0.660535117056856,0.538461538461538,0.583333333333333,0.628805413817942,0.75752508361204,0.327144328043812,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","1","10","5",0.708333333333333,0.696488294314381,0.653846153846154,0.586206896551724,0.639513959400683,0.747491638795987,0.384856690910405,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","1","1",0.583333333333333,0.56875,0.4375,0.538461538461538,0.467449458937227,0.508984375,0.142246665030765,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","1","1",0.597222222222222,0.584375,0.46875,0.555555555555556,0.47150185985699,0.573046875,0.173205080756888,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","1","2",0.513888888888889,0.511583011583012,0.428571428571429,0.5,0.496002718085988,0.536293436293436,0.023485569615051,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","1","2",0.5,0.494980694980695,0.314285714285714,0.478260869565217,0.421499927986123,0.420463320463321,-0.0107608483262666,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","1","3",0.472222222222222,0.474074074074074,0.481481481481482,0.351351351351351,0.36556402822611,0.422222222222222,-0.0502247202333923,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","1","3",0.458333333333333,0.448148148148148,0.407407407407407,0.323529411764706,0.382886260925495,0.397530864197531,-0.10056599371481,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","1","4",0.472222222222222,0.483766233766234,0.535714285714286,0.375,0.33181968015063,0.43262987012987,-0.0318529494648516,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","1","4",0.513888888888889,0.511363636363636,0.5,0.4,0.476859084754913,0.520292207792208,0.0221675549260736,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","1","5",0.5,0.503095975232198,0.558823529411765,0.475,0.438277832091084,0.485681114551083,0.00622090752241799,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","1","5",0.472222222222222,0.473684210526316,0.5,0.447368421052632,0.401475948870529,0.430727554179567,-0.0526315789473684,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","2","1",0.486111111111111,0.489771833202203,0.516129032258065,0.421052631578947,0.376999497676219,0.438237608182533,-0.0202894052154818,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","2","1",0.458333333333333,0.469315499606609,0.548387096774194,0.404761904761905,0.434561954825254,0.53933910306845,-0.0616362992240684,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","2","2",0.541666666666667,0.51461038961039,0.392857142857143,0.407407407407407,0.381888080816738,0.487012987012987,0.029424494316825,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","2","2",0.486111111111111,0.49512987012987,0.535714285714286,0.384615384615385,0.424441603893638,0.56737012987013,-0.00952986215201744,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","2","3",0.541666666666667,0.522816679779701,0.387096774193548,0.461538461538462,0.383190323995681,0.436664044059795,0.0470424171225666,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","2","3",0.513888888888889,0.502360346184107,0.419354838709677,0.433333333333333,0.416640322389013,0.439811172305271,0.0047412537864668,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","2","4",0.555555555555556,0.5,0.25,0.388888888888889,0.350058528856822,0.444805194805195,0,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","2","4",0.472222222222222,0.451298701298701,0.357142857142857,0.333333333333333,0.529882947214444,0.601461038961039,-0.0963142660661774,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","2","5",0.541666666666667,0.554953560371517,0.315789473684211,0.631578947368421,0.531479509939889,0.510448916408669,0.124492260343017,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","2","5",0.597222222222222,0.601393188854489,0.526315789473684,0.645161290322581,0.479788360117655,0.382739938080495,0.204454775632932,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","3","1",0.444444444444444,0.445068163592622,0.448275862068966,0.351351351351351,0.38364915683155,0.47233360064154,-0.107808364141463,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","3","1",0.444444444444444,0.450681635926223,0.482758620689655,0.358974358974359,0.382520365970578,0.405773857257418,-0.097091813108058,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","3","2",0.527777777777778,0.504761904761905,0.366666666666667,0.423076923076923,0.378504203112587,0.455952380952381,0.00977530650648601,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","3","2",0.444444444444444,0.414285714285714,0.233333333333333,0.291666666666667,0.368780790820789,0.467063492063492,-0.179284291400159,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","3","3",0.555555555555556,0.555555555555556,0.472222222222222,0.566666666666667,0.554195585311668,0.524305555555555,0.112687233963802,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","3","3",0.513888888888889,0.513888888888889,0.333333333333333,0.521739130434783,0.547180805987415,0.555941358024691,0.029787773436725,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","3","4",0.472222222222222,0.45625,0.3125,0.384615384615385,0.380400916592696,0.4390625,-0.0905206050195776,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","3","4",0.569444444444444,0.571875,0.59375,0.513513513513513,0.40815210055458,0.45625,0.142915046180276,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","3","5",0.527777777777778,0.531676022453889,0.551724137931034,0.432432432432433,0.4345112578146,0.516038492381716,0.0621668669136904,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","3","5",0.555555555555556,0.549318364073777,0.517241379310345,0.454545454545454,0.49077278032403,0.560946271050521,0.097091813108058,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","4","1",0.5,0.512383900928793,0.289473684210526,0.55,0.518817968429329,0.452012383900929,0.0276059089870741,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","4","1",0.416666666666667,0.417956656346749,0.394736842105263,0.441176470588235,0.452899721265916,0.349071207430341,-0.164086687306502,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","RF","ECFP","CV","2","4","2",0.444444444444444,0.41531914893617,0.32,0.258064516129032,0.283465145385765,0.381276595744681,-0.162840102782685,NA,NA,"DILIrank 
 (-vLessConcern)"
"MCNC","SVM","ECFP","CV","2","4","2",0.444444444444444,0.42468085106383,0.36,0.272727272727273,0.456283463232486,0.628936170212766,-0.143934551742243,NA,NA,"DILIrank 
 (-vLessConcern)"
